Referencia,Stock,PVP,Página
10.0C-H5DH-DO1-IR,C,"1.569,00€",148
12.0W-H5A-FE-DC1,C,"1.145,00€",145
12.0W-H5A-FE-DO1,C,"1.115,00€",145
12.0W-H5A-FE-DO1-IR,B,"1.165,00€",145
15C-H5A-3MH,C,"2.018,00€",148
16C-H5PRO-B,C,"7.749,00€",135
19” 1U 380  MOUNTING BRACKET,B,"4,11€",22
19” 1U 380  MOUNTING BRACKET,B,"4,11€",96
1U-4BAY-SERVER-32TB-RAW,C,"14.383,97€",194
1U-MSERVER,C,"8.532,70€",194
2.0C-H5A-D1-IR,C,"872,62€",140
2.0C-H5A-IRPTZ-DP40-WP,C,"3.652,26€",146
2.0C-H5M-DO1-IR,C,"330,59€",139
2.0C-H6A-BO1-IR,C,"1.133,00€",136
2.0C-H6A-D1-IR,C,"878,00€",140
2.0C-H6A-PTZ-DP30,C,"3.065,00€",146
2.0C-H6M-D1,C,"280,64€",139
2.0C-H6M-D1-IR,C,"308,88€",139
2.0C-H6SL-BO1-IR,C,"668,01€",136
2.0C-H6SL-D1-IR,C,"492,04€",139
2.0C-H6SL-DO1-IR,C,"575,21€",140
2.0C-H6X-B,C,"780,30€",134
20C-H5A-4MH,C,"2.414,00€",149
24C-H5A-3MH,C,"2.321,00€",148
26C-H5PRO-B,C,"9.298,00€",135
2U-12BAY-SERVER-120TB-RAW,C,"35.434,22€",194
3.0C-H4VI-RO1-IR,C,"1.189,00€",153
3.0C-H5A-CR1-IR,C,"1.240,00€",141
3.0C-H5A-CR1-IR-SS,C,"1.499,00€",141
3.0C-H5SL-DO1-IR,C,"585,18€",141
3.0C-H6M-D1-IR,C,"350,43€",141
3.0C-H6SL-BO1-IR,B,"746,81€",137
3.0C-H6SL-BO2-IR,C,"803,71€",137
3.0C-H6SL-D1-IR,C,"567,33€",141
3.0C-H6SL-DO1-IR,C,"654,00€",141
320F-H5A-THC-BO12,C,"4.856,00€",172
320F-H5A-THC-BO50,C,"3.823,00€",172
32C-H5A-4MH,C,"2.755,00€",149
4.0C-H6A-BO1-IR,B,"1.363,00€",137
4.0C-H6A-BO2-IR,C,"1.621,61€",137
4.0C-H6X-B,C,"1.012,00€",134
40C-H5PRO-B,C,"11.365,00€",135
5.0C-H5A-CR1-IR,C,"1.653,00€",142
5.0C-H5A-CR1-IR-SS,C,"1.912,00€",142
5.0C-H5M-DO1-IR,C,"413,25€",142
5.0C-H6M-D2-IR,C,"418,73€",142
5.0C-H6SL-BO1-IR,C,"889,00€",138
5.0C-H6SL-BO2-IR,C,"949,00€",138
5.0C-H6SL-D1-IR,C,"706,53€",142
5.0C-H6SL-DO1-IR,C,"795,83€",142
6.0C-H6A-BO1-IR,C,"1.502,00€",138
6.0C-H6A-DO1-IR,B,"1.409,00€",143
6.0C-H6A-DO2-IR,C,"1.451,00€",143
6.0C-H6X-B,C,"1.150,00€",134
60W POE INJECTOR EU,A,"193,34€",227
8.0C-H5A-FE-DC1,C,"764,71€",144
8.0C-H5A-FE-DO1,C,"734,33€",144
8.0C-H5A-FE-DO1-IR,B,"784,97€",144
8.0C-H5A-PTZ-DC36,C,"3.611,00€",147
8.0C-H5A-PTZ-DP36,C,"3.611,00€",147
8.0C-H6A-BO1-IR,C,"1.710,00€",138
8.0C-H6A-DO1-IR,C,"1.617,00€",143
8.0C-H6X-B,C,"1.358,00€",134
8C-H5PRO-B,C,"3.100,00€",135
9C-H5A-3MH,C,"1.796,00€",148
A22 JUNCTION BOX B-XL,A,"37,21€",48
A28 WALL MOUNT MD-XL,C,"16,51€",48
A29 WALL MOUNT MD-STD,A,"13,02€",48
A35 CORNER MOUNT U,A,"44,65€",48
A36 POLE MOUNT U,A,"44,65€",48
A5404B,C,"1.792,68€",215
A5404G,C,"1.792,68€",215
A5404L,C,"1.573,17€",215
A5404N,C,"1.792,68€",216
A5404R,C,"1.573,17€",216
A5404S,C,"5.213,41€",216
A5404T,C,"1.792,68€",216
AC POWER CABLE-EUROPEN STANDARD-C13-1.5M,A,"5,03€",84
ACC-USB-JOY,C,"633,04€",159
ACC-USB-JOY-PRO,C,"957,15€",159
ACC7-COR,C,"81,23€",158
ACC7-ENT,A,"277,11€",158
ACC7-ENT-FO,C,"43,00€",158
ACC7-FACE,C,"1.434,00€",158
ACC7-FACE-10C,C,"4.778,00€",158
ACC7-LPR,C,"1.529,00€",158
ACC7-STD,C,"157,67€",158
ACC7-STD-TO-ENT-UPG,C,"167,23€",159
ACC7-VAC,C,"286,66€",158
AD-RSGD0204S8,B,"741,46€",235
AD-RSGD0208S8,A,"731,06€",235
AD-SFP2160,C,"112,20€",237
ADAM-6060,A,"589,25€",208
AE-DC4328-K5,P,"298,58€",77
AE-MN5083-M12,P,"2.071,32€",179
AE-VC224T-IT(2.8MM),P,"157,85€",177
AINVR-SFPPLUS-SR,C,"298,00€",149
AINVR2-PRM-FORM-D-96TB-EU,C,"40.886,00€",158
AINVR2-STD-FORM-D-16TB-EU,C,"15.409,00€",157
AINVR2-STD-FORM-D-24TB-EU,C,"16.415,00€",157
AINVR2-STD-FORM-D-32TB-EU,C,"18.122,00€",158
AINVR2-STD-FORM-D-64TB-EU,C,"30.523,00€",158
AINVR2-VAL-12TB-EU,C,"6.584,00€",157
AINVR2-VAL-24TB-EU,C,"10.702,00€",157
AINVR2-VAL-6TB-EU,C,"5.875,00€",157
AINVR2-VAL-ANK,C,"620,73€",159
AMG350-2G-2S,C,"651,24€",238
AMG350-5G,C,"576,94€",238
AMG350-8GAT-P200,C,"996,53€",238
AMG510-24G-4XS,C,"2.880,31€",228
AMG570-4GAT-2S-P120,C,"1.506,45€",238
AMG570-8GAT-3S-P240,C,"1.841,53€",238
AMG816-1F-RP-AD,C,"1.792,00€",238
AMGANT-G1-ODA2.5-5B,C,"33,51€",238
ANE-L6012R,C,"280,00€",108
ANE-L7012R,C,"302,40€",112
ANO-L7082R,B,"336,00€",106
ANV-L6082R,B,"318,18€",110
ANV-L7082R,A,"336,00€",113
AO-ENT-AINN-ADD,C,Gratis,195
AO-ENT-AINN-ADD,C,Gratis,217
AO-ENT-CAM,C,"321,95€",195
AO-ENT-CAM,C,"321,95€",217
AO-ENT-LPRRR-AD,C,"829,27€",195
AO-ENT-LPRRR-AD,C,"829,27€",217
AO-ENT-MMRRR-AD,C,"829,27€",195
AO-ENT-MMRRR-AD,C,"829,27€",217
AO-PRO-CAM,C,"156,10€",195
AO-PRO-CAM,C,"156,10€",217
AO-PRO-MQS-ADD,C,"165,85€",195
AO-PRO-MQS-ADD,C,"165,85€",217
AO-SETCONF,C,"123,64€",195
AO-SETCONF,C,"123,64€",217
AO-ST-CAM,C,"97,56€",195
AO-ST-CAM,C,"97,56€",217
AP5404E,C,"1.536,59€",214
AP5404P,C,"5.213,41€",214
AP5404T,C,"28.975,61€",214
ATKPRO,C,"2.317,07€",202
AVR-10,C,"228,66€",205
AVR-100,C,"1.704,55€",205
AVR-1000,C,"3.658,54€",205
BASE DE DATOS 100K,C,"74.825,76€",213
BASE DE DATOS 10K,C,"32.755,65€",213
BASE DE DATOS 10M,C,"1.018.712,12€",213
BASE DE DATOS 1K,C,"8.714,05€",213
