"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
Tipo de Cámara,Bullet,Bullet
Resolución,"1,3 Mpx",1 Mpx
Tecnología de Vídeo,HD - TVI,HD - TVI
Tipo de Óptica,Fija,Fija
Distancia Focal,"2,8 mm",16 mm
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,20 m IR,40 m IR
Luz Blanca,;,;
WDR,;,;
Iluminación Mínima,0.01lux,0.01lux
Análisis de Video,No,No
Entradas/Salidas de Alarma,;,;
Entrada/Salida Audio,;,;
Slot SD,;,;
WIFI,;,;
Exterior,IP66,IP66
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-XS
Soporte Techo,No,No
Soporte Poste,No,No
Soporte Esquina,No,No
Soporte Empotrado,No,No
Alimentación,12 Vdc,12 Vdc
Alto x Ancho x Profundo (cm),- x - x -,8.10 x 8.60 x 22.00
Peso (kg),0.31,0.70
Disponibilidad,C,C
"",DS-2CE12DF3T-,DS-2CE16D1T-,DS-2CE16D0T-,DS-2CE17D0T-,DS-2CE16D0T-
"",PIRXOS(2.8MM),IRP(2.8MM),ITF(2.8MM),IT3F(2.8MM),IRPF(6MM)
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet,Bullet
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",,,HD - TVI,HD - TVI,HD - TVI
"",,,AHD,AHD,AHD
Tecnología de Vídeo,HD - TVI,HD - TVI,,,
"",,,CVBS,CVBS,CVBS
"",,,HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","2,8 mm",6 mm
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,20 m IR,30 m IR,40 m IR,20 m IR
Luz Blanca,40m,;,;,;,;
WDR,130 dB,;,Digital WDR,Digital WDR,Digital WDR
Iluminación Mínima,0.0005lux,0.01lux,0.01lux,0.01lux,0.01lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,1s,;,;,;,;
Entrada/Salida Audio,Micrófono Integrado,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP66,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,;,;,;,;
Soporte Pared,No,No,No,No,No
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-XS,DS-1280ZJ-XS,DS-1280ZJ-XS,No
Soporte Techo,No,No,No,No,No
Soporte Poste,No,No,No,DS-1275ZJ-SUS,No
Soporte Esquina,No,No,No,DS-1276ZJ-SUS,No
Soporte Empotrado,No,No,No,No,No
Alimentación,12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc
Alto x Ancho x,,,,,
Profundo (cm),7.71 x 8.26 x 21.32,7.00 x 7.00 x 14.90,5.70 x 6.09 x 13.80,7.54 x 7.89 x 21.66,7.00 x 7.00 x 13.70
Peso (kg),0.47,0.29,0.57,0.32,0.17
Disponibilidad,C,C,C,A,C
"",DS-2CE19D0T-IT3ZF(2.7-13.5MM),DS-2CE19D3T-AIT3ZF(2.7-13.5MM)
Tipo de Cámara,Bullet,Bullet
Resolución,2 Mpx,2 Mpx
"",HD - TVI,HD - TVI
"",AHD,AHD
Tecnología de Vídeo,,
"",CVBS,CVBS
"",HD - CVI,HD - CVI
Tipo de Óptica,Motorizada,Motorizada
Distancia Focal,"2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,70 m IR,70 m IR
Luz Blanca,;,;
WDR,120 dB,120 dB
Iluminación Mínima,0.005lux,0.005lux
Análisis de Video,No,No
Entradas/Salidas de Alarma,;,;
Entrada/Salida Audio,;,;
Slot SD,;,;
WIFI,;,;
Exterior,IP67,IP67
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
Soporte Base,DS-1280ZJ-S,DS-1280ZJ-S
Soporte Techo,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No
Alimentación,12 Vdc,12 Vdc
Alto x Ancho x Profundo (cm),8.45 x 9.20 x 25.51,8.40 x 9.20 x 25.50
"",DS-2CE19D0T-IT3ZF(2.7-13.5MM),DS-2CE19D3T-AIT3ZF(2.7-13.5MM)
Tipo de Cámara,Bullet,Bullet
Resolución,2 Mpx,2 Mpx
"",HD - TVI,HD - TVI
"",AHD,AHD
Tecnología de Vídeo,,
"",CVBS,CVBS
"",HD - CVI,HD - CVI
Tipo de Óptica,Motorizada,Motorizada
Distancia Focal,"2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,70 m IR,70 m IR
Luz Blanca,;,;
WDR,120 dB,120 dB
Iluminación Mínima,0.005lux,0.005lux
Análisis de Video,No,No
Entradas/Salidas de Alarma,;,;
Entrada/Salida Audio,;,;
Slot SD,;,;
WIFI,;,;
Exterior,IP67,IP67
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
Soporte Base,DS-1280ZJ-S,DS-1280ZJ-S
Soporte Techo,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No
Alimentación,12 Vdc,12 Vdc
Alto x Ancho x Profundo (cm),8.45 x 9.20 x 25.51,8.40 x 9.20 x 25.50
Peso (kg),0.65,0.65
Disponibilidad,A+,A+
"",DS-2CE16H0T-,DS-2CE16U1T-,DS-2CE19H0T-,DS-2CE19H8T-,DS-2CE19U1T-
"",ITF(2.8MM)(C),ITF(2.8MM),AIT3ZF(2.7-13.5MM),AIT3ZF(2.7-13.5MM),AIT3ZF(2.7-13.5MM)
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet,Bullet
Resolución,5 Mpx,8 Mpx,5 Mpx,5 Mpx,8 Mpx
"",HD - TVI,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD,AHD,AHD
Tecnología de Vídeo,,,,,
"",CVBS,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Fija,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,8 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,40 m IR,80 m IR,80 m IR
Luz Blanca,;,;,;,;,;
WDR,Digital WDR,Digital WDR,Digital WDR,130 dB,Digital WDR
Iluminación Mínima,0.01lux,0.01lux,0.01lux,0.003lux,0.01lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,;,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,;,;,;,;
Soporte Pared,No,No,No,No,No
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-XS,DS-1280ZJ-S,DS-1280ZJ-S,DS-1280ZJ-S
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
"",DS-2CE16H0T-,DS-2CE16U1T-,DS-2CE19H0T-,DS-2CE19H8T-,DS-2CE19U1T-
"",ITF(2.8MM)(C),ITF(2.8MM),AIT3ZF(2.7-13.5MM),AIT3ZF(2.7-13.5MM),AIT3ZF(2.7-13.5MM)
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet,Bullet
Resolución,5 Mpx,8 Mpx,5 Mpx,5 Mpx,8 Mpx
"",HD - TVI,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD,AHD,AHD
Tecnología de Vídeo,,,,,
"",CVBS,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Fija,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,8 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,40 m IR,80 m IR,80 m IR
Luz Blanca,;,;,;,;,;
WDR,Digital WDR,Digital WDR,Digital WDR,130 dB,Digital WDR
Iluminación Mínima,0.01lux,0.01lux,0.01lux,0.003lux,0.01lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,;,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,;,;,;,;,;
Soporte Pared,No,No,No,No,No
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-XS,DS-1280ZJ-S,DS-1280ZJ-S,DS-1280ZJ-S
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",,,12 Vca,,
Alimentación,12 Vdc,12 Vdc,,12 Vdc / 24 Vac,12 Vdc / 24 Vac
"",,,12 Vdc,,
Alto x Ancho x,,,,,
Profundo (cm),5.80 x 6.10 x 16.30,5.80 x 6.10 x 15.86,8.45 x 9.20 x 25.51,8.45 x 9.20 x 25.51,8.45 x 9.20 x 25.51
Peso (kg),0.35,0.34,0.68,0.93,0.69
Disponibilidad,A,C,B,A,C
"",,DS-2CE56D0T-,,,,
"",DS-2CE56D1T-,,DS-2CE56D0T-,DS-2CE56D8T-,DS-2CE76D0T-,DS-2CE72D8T-
"",,IRMMF(2.8MM),,,,
"",IRMM(2.8MM),,IRMF(3.6MM)(C),ITMF(2.8MM),ITMF(2.8MM)(C),IT3SE(2.8MM)
"",,(C),,,,
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",,HD - TVI,HD - TVI,HD - TVI,AHD,
Tecnología de,,AHD,AHD,AHD,CVBS,
Vídeo,HD - TVI,CVBS,CVBS,CVBS,TVI,HD - TVI
"",,HD - CVI,HD - CVI,HD - CVI,CVI,
Tipo de Óptica,Fija,Fija,Fija,Fija,Fija,Fija
Distancia Focal,"2,8 mm","2,8 mm","3,6 mm","2,8 mm","2,8 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,20 m IR,20 m IR,25 m IR,30 m IR,30 m IR,40 m IR
Luz Blanca,;,;,;,;,;,;
WDR,;,Digital WDR,Digital WDR,130 dB,Digital WDR,130 dB
Iluminación Mínima,0.01lux,0.01lux,0.003lux,0.003lux,0.01lux,0.0005lux
Análisis de Video,No,No,No,No,No,No
Entradas/Salidas,,,,,,
de Alarma,;,;,;,;,;,;
Entrada/Salida,,,,,,Micrófono
Audio,;,;,;,;,;,Integrado
Slot SD,;,;,;,;,;,;
WIFI,;,;,;,;,;,;
Exterior,;,;,IP67,IP67,IP67,IP67
Grado de,,,,,,
Protección,;,;,;,;,;,;
Antivandálica,,,,,,
"",,,DS-1272ZJ-110-,DS-1272ZJ-110-,DS-1272ZJ-110-,DS-1272ZJ-110-
Soporte Pared,No,No,,,,
"",,,TRS,TRS,TRS,TRS
Soporte Base,No,No,DS-1280ZJ-XS,DS-1280ZJ-S,DS-1280ZJ-XS,DS-1280ZJ-S
Soporte Techo,No,No,No,No,No,No
Soporte Poste,No,No,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,No,No,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
